"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Ligusticum acutifolium Kirk","NZOR-4-91260","Anisotome acutifolia","Apiaceae",,"Umbelliferae","Anisotome","Apiales","species","Magnoliopsida"
"Lepidium kawarau var. dubium Kirk","NZOR-4-79637","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Nasturtium sisymbrioides (Hook.f.) Kuntze","NZOR-4-79637","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Carmichaelia enysii Kirk","NZOR-4-70","Carmichaelia nana","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Dracophyllum densum W.R.B.Oliv.","NZOR-4-133389","Dracophyllum densum","Ericaceae",,"Ericaceae","Dracophyllum","Ericales","species","Magnoliopsida"
"Grammitis leptophylla (L.) Sw.","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Drosera pygmaea DC.","http://id.biodiversity.org.au/node/apni/2916113","Drosera pygmaea","Droseraceae",,"Droseraceae","Drosera","Caryophyllales","species","Magnoliopsida"
"Festuca littoralis Labill.","http://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Uncinia rubra var. rigida (Petrie) Cheeseman","NZOR-4-78454","Carex strictissima","Cyperaceae",,"Cyperaceae","Uncinia","Poales","variety","Magnoliopsida"
"Botrychium lunaria (L.) Sw.","http://id.biodiversity.org.au/node/apni/2907253","Botrychium lunaria","Ophioglossaceae",,"Ophioglossaceae","Botrychium","Ophioglossales","species","Psilotopsida"
"Eleocharis fluitans (L.) Hook.","http://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Coprosma acerosa A.Cunn.","NZOR-4-120667","Coprosma acerosa","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Danthonia raoulii var. teretifolia Petrie","NZOR-4-7563","Chionochloa juncea","Poaceae",,"Gramineae","Chionochloa","Poales","variety","Magnoliopsida"
